firstname,middlename,lastname,qualifier,title,role,organization,rank
Rob,,Sass,,,reported,,1
Aurelien,,Breeden,,,reported,,1
Constant,,Méheut,,,reported,,2
Roger,,Cohen,,,reported,,1
Roger,,Cohen,,,reported,,1
Michael,,Barbaro,,,reported,,1
Rachelle,,Bonja,,,reported,,2
Kaitlin,,Roberts,,,reported,,3
Sydney,,Harper,,,reported,,4
Anita,,Badejo,,,reported,,5
Dan,,Powell,,,reported,,6
Elisheba,,Ittoop,,,reported,,7
Chris,,Wood,,,reported,,8
Roger,,Cohen,,,reported,,1
Roger,,Cohen,,,reported,,1
Rim-sarah,,Alouane,,,reported,,1
Paul,,Krugman,,,reported,,1
Norimitsu,,Onishi,,,reported,,1
Constant,,Méheut,,,reported,,2
Roger,,Cohen,,,reported,,1
Norimitsu,,Onishi,,,reported,,1
Constant,,Méheut,,,reported,,2
Aurelien,,Breeden,,,reported,,1
Roger,,Cohen,,,reported,,1
Elisabeth,,Zerofsky,,,reported,,1
Roger,,Cohen,,,reported,,1
Léontine,,Gallois,,,reported,,1
Youtube,,,,,reported,,1
David,,Carr,,,reported,,1
Lynn,,Zinser,,,reported,,1
Marianne,,Rohrlich,,,reported,,1
Conrad,,De Aenlle,,,reported,,1
Alexander,,Burns,,,reported,,1
Joyce,,Maynard,,,reported,,1
Julia,,Preston,,,reported,,1
Ben,,Widdicombe,,,reported,,1
Channon,,Hodge,,,reported,,1
Americans,For,Prosperity,,,reported,,1
Deb,,Amlen,,,reported,,1
Lawrence,,Downes,,,reported,,1
Floyd,,Norris,,,reported,,1
Floyd,,Norris,,,reported,,1
Laugh,,Lines,,,reported,,1
John,,Sullivan,,,reported,,1
Floyd,,Norris,,,reported,,1
Nicholas,,,,,reported,,1
Deb,,Amlen,,,reported,,1
Bob,,Morris,,,reported,,1
Conrad,,De Aenlle,,,reported,,1
Richard,S.,CHANG,,,reported,,1
Vikas,,Bajaj,,,reported,,1
Rosa,,Brooks,,,reported,,1
David,,Barboza,,,reported,,1
Jenny,,Kellner,,,reported,,1
Gail,,Collins,,,reported,,1
Caroline,,Kinneberg,,,reported,,1
Leo,H.,Carney,,,reported,,1
Isabel,,Kershner,,,reported,,1
Steve,,Strunsky,,,reported,,1
Tarik,,El-Bashir,,,reported,,1
Michael,,SZETO,,,reported,,1
Fares,,Akram,,,reported,,1
Ben,,Hubbard,,,reported,,1
Elisabeth,,BUMILLER,,,reported,,1
April,,Dembosky,,,reported,,1
Anthony,,Ramirez,,,reported,,1
Elisabeth,,BUMILLER,,,reported,,1
Richard,,Bernstein,,,reported,,1
Ann,,Leary,,,reported,,1
Conrad,,De Aenlle,,,reported,,1
Anthony,,Ramirez,,,reported,,1
Francis,X.,Clines,,,reported,,1
,,,,,reported,,2
Jonathan,,Fuerbringer,,,reported,,1
Neeti,,Upadhye,,,reported,,1
Corey,,Kilgannon,,,reported,,1
Jonathan,,Gilbert,,,reported,,1
Ben,,Shpigel,,,reported,,1
Krishnan,,Vasudevan,,,reported,,1
Emily,,Rueb,,,reported,,1
Emily,,Rueb,,,reported,,1
Matthew,,Orr,,,reported,,1
Brad,,Spurgeon,,,reported,,1
Stephen,,Farrell,,,reported,,1
Timothy,,Egan,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Adam,W.,Kepler,,,reported,,1
Adam,W.,Kepler,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Adam,W.,Kepler,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Joshua,,Barone,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Lori,,Holcomb-Holland,,,reported,,1
Alec,,,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Brandon,K.,Thorp,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
David,,WALDSTEIN,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Alec,,,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Alec,,,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Sam,,Sifton,,,reported,,1
Gabe,,Cohn,,,reported,,1
Gabe,,Cohn,,,reported,,1
Gabe,,Cohn,,,reported,,1
Andrew,R.,Chow,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Gabe,,Cohn,,,reported,,1
Gabe,,Cohn,,,reported,,1
Andrew,R.,Chow,,,reported,,1
Angel,,Franco,,,reported,,1
David,W.,Dunlap,,,reported,,2
Andrew,R.,Chow,,,reported,,1
Lauren,,Messman,,,reported,,1
Kathryn,,Shattuck,,,reported,,1
Ivan,,Penn,,,reported,,1
Eric,,Adelson,,,reported,,1
Amanda,,Holpuch,,,reported,,2
Nick,,Madigan,,,reported,,3
Matthew,,Goldstein,,,reported,,1
Lisa,,Friedman,,,reported,,1
Michael,,Levenson,,,reported,,1
Ivan,,Penn,,,reported,,1
Ruth,,Fremson,,,reported,,2
Vikas,,Bajaj,,,reported,,1
Vikas,,Bajaj,,,reported,,1
Stanley,,Reed,,,reported,,1
Storyful,,,,,reported,,1
,,,,,reported,,2
,,,,,reported,,3
Vikas,,Bajaj,,,reported,,1
Vikas,,Bajaj,,,reported,,1
Stanley,,Reed,,,reported,,1
Storyful,,,,,reported,,1
,,,,,reported,,2
,,,,,reported,,3
Christine,,Chung,,,reported,,1
Eshe,,Nelson,,,reported,,1
Coral,Murphy,Marcos,,,reported,,1
Erika,P.,Rodriguez,,,reported,,2
Ben,,Hubbard,,,reported,,1
Hwaida,,Saad,,,reported,,2
,,,,,reported,,3
Ian,W.,Toll,,,reported,,1
Motoko,,Rich,,,reported,,1
Hikari,,Hida,,,reported,,2
Margaret,,Renkl,,,reported,,1
Benjamin,,Mullin,,,reported,,1
David,,Gelles,,,reported,,1
Renaud,,Philippe,,,reported,,2
Clifford,,Krauss,,,reported,,1
Liz,,Alderman,,,reported,,1
Stanley,,Reed,,,reported,,2
Ivan,,Penn,,,reported,,1
Henry,,Fountain,,,reported,,1
Keith,,Bradsher,,,reported,,1
Lisa,,Friedman,,,reported,,1
Isabella,,Kwai,,,reported,,1
Ben,,Dooley,,,reported,,1
Hisako,,Ueno,,,reported,,2
Clifford,,Krauss,,,reported,,1
Jesus,,Jiménez,,,reported,,1
Eduardo,,Medina,,,reported,,2
Peter,,Eavis,,,reported,,1
Lindsay,,Crouse,,,reported,,1
Helen,,Thompson,,,reported,,1
Sebastian,,Modak,,,reported,,1
Mike,,Hale,,,reported,,1
Ronda,,Kaysen,,,reported,,1
Jessica,,Stolzberg,,,reported,,1
Coral,Murphy,Marcos,,,reported,,1
Jane,,Margolies,,,reported,,1
Christine,,Chung,,,reported,,1
Ivan,,Penn,,,reported,,1
Eshe,,Nelson,,,reported,,1
Eduardo,,Medina,,,reported,,1
Melissa,,Eddy,,,reported,,1
Noor,,Qasim,,,reported,,1
Christine,,Chung,,,reported,,1
Anne,,Barnard,,,reported,,1
Raymond,,Zhong,,,reported,,1
Jack,,Ewing,,,reported,,1
Clifford,,Krauss,,,reported,,2
Johnny,,Diaz,,,reported,,1
Lauren,,Christensen,,,reported,,1
Nancy,,Ramsey,,,reported,,1
Brooks,,Barnes,,,reported,,1
Nicole,,Sperling,,,reported,,2
Christopher,,Flavelle,,,reported,,1
Julie,,Tate,,,reported,,2
Erin,,Schaff,,,reported,,3
Gabe,,Cohn,,,reported,,1
Brooks,,Barnes,,,reported,,1
Nicole,,Sperling,,,reported,,2
Kyle,,Buchanan,,,reported,,1
Clifford,,Krauss,,,reported,,1
David,,Brooks,,,reported,,1
Kyle,,Buchanan,,,reported,,1
Katy,,Reckdahl,,,reported,,1
Emily,,Lane,,,reported,,2
Tariro,,Mzezewa,,,reported,,3
Storyful,,,,,reported,,1
Patricia,,Cohen,,,reported,,1
Stanley,,Reed,,,reported,,2
David,,Yaffe-Bellany,,,reported,,1
Julian,E.,Zelizer,,,reported,,1
Wesley,,Morris,,,reported,,1
Lisa,,Friedman,,,reported,,1
Sarah,,Bahr,,,reported,,1
David,,Gelles,,,reported,,1
Lisa,,Friedman,,,reported,,2
Patrick,,McGeehan,,,reported,,1
Ian,,Austen,,,reported,,1
Alex,,Marshall,,,reported,,1
Kyle,,Buchanan,,,reported,,1
Stanley,,Reed,,,reported,,1
Catrin,,Einhorn,,,reported,,1
Lisa,,Friedman,,,reported,,2
Ivan,,Penn,,,reported,,1
Lisa,,Friedman,,,reported,,1
Motoko,,Rich,,,reported,,1
Eric,,Nagourney,,,reported,,2
Carole,,Landry,,,reported,,1
Stanley,,Reed,,,reported,,1
Neil,,Vigdor,,,reported,,1
Laura,,Zornosa,,,reported,,1
Nicole,,Sperling,,,reported,,1
Simone,,Tagliapietra,,,reported,,1
Georg,,Zachmann,,,reported,,2
Morgan,,Bazilian,,,reported,,3
Ronda,,Kaysen,,,reported,,1
Choe,,Sang-Hun,,,reported,,1
Valerie,,Hopkins,,,reported,,1
William,J.,Broad,,,reported,,2
Choe,,Sang-Hun,,,reported,,1
William,J.,Broad,,,reported,,1
Somini,,Sengupta,,,reported,,1
Richard,,Sandomir,,,reported,,1
Anne,,Barnard,,,reported,,1
Michael,,Downey,,,reported,,1
Mark,,Boyer,,,reported,,2
Taras,,Ratushnyy,,,reported,,3
Michael,,,,,reported,,1
Alan,,Rappeport,,,reported,,1
Patricia,,Cohen,,,reported,,1
Jamie,Lee,Taete,,,reported,,1
Lydia,,DePillis,,,reported,,1
Ro,,Khanna,,,reported,,1
Ana,,Swanson,,,reported,,1
John,,Ismay,,,reported,,2
Edward,,Wong,,,reported,,3
Peter,,Eavis,,,reported,,1
Talmon,Joseph,Smith,,,reported,,2
Alexandra,,Stevenson,,,reported,,1
Sapna,,Maheshwari,,,reported,,2
Andrew,Ross,Sorkin,,,reported,,1
Vivian,,Giang,,,reported,,2
Stephen,,Gandel,,,reported,,3
Lauren,,Hirsch,,,reported,,4
Ephrat,,Livni,,,reported,,5
Jenny,,Gross,,,reported,,6
Reed,,Abelson,,,reported,,1
Craig,S.,Smith,,,reported,,1
Zolan,,Kanno-Youngs,,,reported,,1
Peter,,Baker,,,reported,,2
Christina,,Szalinski,,,reported,,1
Annie,,Karni,,,reported,,1
Emily,,Cochrane,,,reported,,2
Ben,,Dooley,,,reported,,1
Hisako,,Ueno,,,reported,,2
Jeanna,,Smialek,,,reported,,1
Christina,,Jewett,,,reported,,1
Amelia,,Nierenberg,,,reported,,1
Andrew,Ross,Sorkin,,,reported,,1
Stephen,,Gandel,,,reported,,2
Lauren,,Hirsch,,,reported,,3
Ephrat,,Livni,,,reported,,4
Jenny,,Gross,,,reported,,5
Vivian,,Giang,,,reported,,6
Anna,,Schaverien,,,reported,,7
David,,Leonhardt,,,reported,,1
Jessica,,Grose,,,reported,,1
Ilaria,,Parogni,,,reported,,1
Amelia,,Nierenberg,,,reported,,1
Keith,,Bradsher,,,reported,,1
Jeff,,Sommer,,,reported,,1
Lindsay,,Owens,,,reported,,1
Keith,,Bradsher,,,reported,,1
Ana,,Swanson,,,reported,,1
Peter,S.,Goodman,,,reported,,1
Jeanna,,Smialek,,,reported,,1
Ana,,Swanson,,,reported,,2
Lisa,,Friedman,,,reported,,1
Andrew,Ross,Sorkin,,,reported,,1
Vivian,,Giang,,,reported,,2
Stephen,,Gandel,,,reported,,3
Lauren,,Hirsch,,,reported,,4
Ephrat,,Livni,,,reported,,5
David,F.,Gallagher,,,reported,,6
Jenny,,Gross,,,reported,,7
Alan,,Rappeport,,,reported,,1
Jeanna,,Smialek,,,reported,,1
Ben,,Casselman,,,reported,,2
Andrew,Ross,Sorkin,,,reported,,1
Jason,,Karaian,,,reported,,2
Vivian,,Giang,,,reported,,3
Stephen,,Gandel,,,reported,,4
Lauren,,Hirsch,,,reported,,5
Ephrat,,Livni,,,reported,,6
Jenny,,Gross,,,reported,,7
David,F.,Gallagher,,,reported,,8
Anna,,Schaverien,,,reported,,9
Paul,,Krugman,,,reported,,1
Coral,Murphy,Marcos,,,reported,,1
Julie,,Weed,,,reported,,1
Peter,S.,Goodman,,,reported,,1
Ben,,Casselman,,,reported,,1
Ana,,Swanson,,,reported,,2
Andrew,Ross,Sorkin,,,reported,,1
Jason,,Karaian,,,reported,,2
Vivian,,Giang,,,reported,,3
Stephen,,Gandel,,,reported,,4
Lauren,,Hirsch,,,reported,,5
Ephrat,,Livni,,,reported,,6
Jenny,,Gross,,,reported,,7
Anna,,Schaverien,,,reported,,8
Jack,,Ewing,,,reported,,1
Alan,,Rappeport,,,reported,,1
Ana,,Swanson,,,reported,,2
Keith,,Bradsher,,,reported,,1
Marie,,Solis,,,reported,,1
Conor,,Dougherty,,,reported,,1
Jeanna,,Smialek,,,reported,,2
Steven,,Rattner,,,reported,,1
Karen,,Weise,,,reported,,1
Keith,,Bradsher,,,reported,,1
Paul,,Krugman,,,reported,,1
Sway',,,,,reported,,1
Jeanna,,Smialek,,,reported,,1
Jeanna,,Smialek,,,reported,,1
Liz,,Alderman,,,reported,,1
Peter,S.,Goodman,,,reported,,1
Jack,,Ewing,,,reported,,1
Ceylan,,Yeginsu,,,reported,,1
Peter,S.,Goodman,,,reported,,1
Jack,,Ewing,,,reported,,1
Clifford,,Krauss,,,reported,,2
Ana,,Swanson,,,reported,,1
Jeanna,,Smialek,,,reported,,1
Victoria,,Gomelsky,,,reported,,1
Keith,,Bradsher,,,reported,,1
Jeanna,,Smialek,,,reported,,1
Ana,,Swanson,,,reported,,1
Photographs,,,,,reported,,1
Text,Gary,He,,,reported,,2
Jenny,,Gross,,,reported,,1
Jack,,Ewing,,,reported,,1
Stephen,,Gandel,,,reported,,2
Jeff,,Sommer,,,reported,,1
Peter,,Eavis,,,reported,,1
Jack,,Ewing,,,reported,,1
Matthew,,Haag,,,reported,,1
Don,,Clark,,,reported,,1
Adam,,Satariano,,,reported,,2
Robin,,Kaiser-Schatzlein,,,reported,,1
Peter,S.,Goodman,,,reported,,1
Jack,,Ewing,,,reported,,1
Liz,,Alderman,,,reported,,1
Jenny,,Gross,,,reported,,2
James,,Barron,,,reported,,1
Blake,,Hounshell,,,reported,,1
Leah,,Askarinam,,,reported,,2
Ana,,Swanson,,,reported,,1
Andrew,Ross,Sorkin,,,reported,,1
Jason,,Karaian,,,reported,,2
Sarah,,Kessler,,,reported,,3
Stephen,,Gandel,,,reported,,4
Michael,J.,de la Merced,,,reported,,5
Lauren,,Hirsch,,,reported,,6
Ephrat,,Livni,,,reported,,7
Jack,,Ewing,,,reported,,1
Michael,J.,Puma,,,reported,,1
Megan,,Konar,,,reported,,2
Joe,,Nocera,,,reported,,1
Ana,,Swanson,,,reported,,1
Nina,,Roberts,,,reported,,1
Liza,,Weisstuch,,,reported,,1
Monika,,Pronczuk,,,reported,,1
Zolan,,Kanno-Youngs,,,reported,,1
Jonathan,,Weisman,,,reported,,2
Emily,,Cochrane,,,reported,,3
Jeanna,,Smialek,,,reported,,1
Ana,,Swanson,,,reported,,1
Eric,,Schmitt,,,reported,,1
Julian,E.,Barnes,,,reported,,2
David,,Dayen,,,reported,,1
Ana,,Swanson,,,reported,,1
Alan,,Rappeport,,,reported,,2
Jeanna,,Smialek,,,reported,,1
Ana,,Swanson,,,reported,,2
Susan,,Burton,,,reported,,1
Michael,,Paulson,,,reported,,1
Maureen,,Dowd,,,reported,,1
Jeannette,,Catsoulis,,,reported,,1
Woody,,Hochswender,,,reported,,1
Marilyn,,Stasio,,,reported,,1
Marc,,Ecko,,,reported,,1
Charles,,Solomon,,,reported,,1
Mike,,Freeman,,,reported,,1
Mariam,,Barghouti,,,reported,,1
Yolanda,A.,Andrews,,,reported,,1
Alessandra,,Stanley,,,reported,,1
Bob,,Morris,,,reported,,1
